zip_code,population,source
02026,25150,ACS_2022_5yr_B01003_001E
02108,4218,ACS_2022_5yr_B01003_001E
02109,3559,ACS_2022_5yr_B01003_001E
02110,2337,ACS_2022_5yr_B01003_001E
02111,8417,ACS_2022_5yr_B01003_001E
02113,6688,ACS_2022_5yr_B01003_001E
02114,13356,ACS_2022_5yr_B01003_001E
02115,27838,ACS_2022_5yr_B01003_001E
02116,22286,ACS_2022_5yr_B01003_001E
02118,28392,ACS_2022_5yr_B01003_001E
02119,26821,ACS_2022_5yr_B01003_001E
02120,14364,ACS_2022_5yr_B01003_001E
02121,29820,ACS_2022_5yr_B01003_001E
02122,24705,ACS_2022_5yr_B01003_001E
02124,55336,ACS_2022_5yr_B01003_001E
02125,31903,ACS_2022_5yr_B01003_001E
02126,24994,ACS_2022_5yr_B01003_001E
02127,36175,ACS_2022_5yr_B01003_001E
02128,45357,ACS_2022_5yr_B01003_001E
02129,19832,ACS_2022_5yr_B01003_001E
02130,41479,ACS_2022_5yr_B01003_001E
02131,31637,ACS_2022_5yr_B01003_001E
02132,26488,ACS_2022_5yr_B01003_001E
02134,17969,ACS_2022_5yr_B01003_001E
02135,44480,ACS_2022_5yr_B01003_001E
02136,39498,ACS_2022_5yr_B01003_001E
02199,1221,ACS_2022_5yr_B01003_001E
02210,5706,ACS_2022_5yr_B01003_001E
02215,24522,ACS_2022_5yr_B01003_001E
02467,21709,ACS_2022_5yr_B01003_001E
