degree,fold,train_mse,val_mse,alpha,train_size,val_size
2,1,84292036.64436,74652418.46253558,0.01,348872,38764
2,2,82556159.86122474,98588160.20723315,1.0,348872,38764
2,3,83992365.71107106,78002434.4579111,0.1,348872,38764
2,4,83626164.41642389,80611252.8557398,0.01,348872,38764
2,5,81998955.48509063,97545996.73983888,0.01,348872,38764
2,6,82658025.71306738,92809826.73923057,0.01,348872,38764
2,7,81581056.77688347,109466348.23987259,0.01,348873,38763
2,8,84245404.89600162,75082110.50055443,0.01,348873,38763
2,9,83603816.06507668,87044638.10191791,0.1,348873,38763
2,10,82628665.11426054,92410675.91158116,0.1,348873,38763
